timecode,seconds,shot,act,visual_scene,narration_line,music_cue,music_intensity_1_5,music_level_db_rel_narration,music_fade,sfx_cue,sfx_source,sfx_level_db_rel_narration,sfx_fade,notes
00:03:26:12,206.48,K30,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTO A252 · 2025 volunteer tying shoe for child,"ಬುಡಕಟ್ಟು ಶಾಲೆಗಳ ಮಕ್ಕಳ ಜೊತೆ ತಂಡ ಕೆಲವು ದಿನ ಉಳಿಯುತ್ತದೆ. ಕಲಿಸುತ್ತದೆ, ಕಲಿಯುತ್ತದೆ. ಆಮೇಲೆ ಚೀಲಗಳು ಮಕ್ಕಳ ಕೈ ಸೇರುತ್ತವೆ.","Piano and cello, low and close, no lift",2,-25,-,,,,,
00:03:26:12,206.48,K30,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTO A252 · 2025 volunteer tying shoe for child,"ಬುಡಕಟ್ಟು ಶಾಲೆಗಳ ಮಕ್ಕಳ ಜೊತೆ ತಂಡ ಕೆಲವು ದಿನ ಉಳಿಯುತ್ತದೆ. ಕಲಿಸುತ್ತದೆ, ಕಲಿಯುತ್ತದೆ. ಆಮೇಲೆ ಚೀಲಗಳು ಮಕ್ಕಳ ಕೈ ಸೇರುತ್ತವೆ.",,,,,Indian village ambience under the field work,https://pixabay.com/sound-effects/indian-village-ambience-219221/,-21,in 2.50s / out 2.50s,"[placed] CUT ONLY FROM 268.0s, and this is not a preference. sfx_voicecheck.py found clear speech at 65.5s, 202.0s and six other points in this file; 268.0s begins the one 12.5s run in the calmest quartile. `14` item 2.4 is absolute and a human must still confirm the shipped excerpt by ear"
00:03:32:17,212.68,K30,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTO A252 · 2025 volunteer tying shoe for child,"ಬುಡಕಟ್ಟು ಶಾಲೆಗಳ ಮಕ್ಕಳ ಜೊತೆ ತಂಡ ಕೆಲವು ದಿನ ಉಳಿಯುತ್ತದೆ. ಕಲಿಸುತ್ತದೆ, ಕಲಿಯುತ್ತದೆ. ಆಮೇಲೆ ಚೀಲಗಳು ಮಕ್ಕಳ ಕೈ ಸೇರುತ್ತವೆ.",,,,,Low swell under the field work,https://pixabay.com/sound-effects/riser-wildfire-285209/,-20,in 1.20s / out 1.40s,"[placed] `11` rejected this file as the wrong register at full level. At -20 under the voice and cut from its tail it reads as air rather than fire, and it is the first accent to cut if it announces itself"
00:03:36:02,216.08,K31,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTO A244 · 2025 stationery and snacks arranged,"ವಿದ್ಯಾರ್ಥಿವೇತನ ಒಂದರಿಂದಲೇ ಶಿಕ್ಷಣ ಪೂರ್ಣವಾಗುವುದಿಲ್ಲ. ಹಾಗಾಗಿ ಶಾಲಾ ಚೀಲ, ನೋಟ್‌ಬುಕ್, ಲೇಖನ ಸಾಮಗ್ರಿ, ಚಿತ್ರಕಲೆಯ ಪರಿಕರ.",Tempo lifts slightly for the programmes,3,-24,-,,,,,
00:03:45:13,225.52,K32,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTOCARD A078 · kids craft,"ಗ್ರಂಥಾಲಯಗಳು. ವೃತ್ತಿ ಮಾರ್ಗದರ್ಶನ. ಆಟಗಳು. ಮಕ್ಕಳು ಹಾಡಿ ಕುಣಿಯುವ ವೇದಿಕೆ, ಮತ್ತು ಅದನ್ನು ನೋಡಲೆಂದೇ ಬಂದ ಜನ.","Motif in the piano, bansuri answering",3,-24,-,,,,,
00:03:54:18,234.72,K33,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTO A232 · 2025 large community celebration group photo,"ಮಕ್ಕಳಿಗೆ ಮಾತ್ರವಲ್ಲ, ಪೋಷಕರಿಗೂ ಮಾರ್ಗದರ್ಶನ.","Holds, then begins to withdraw before the card",3,-24,out 1.5s,,,,,
00:03:57:23,237.92,K34,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",CARD GFX-07 · (no list on screen under this line),ತಲುಪುವುದೇ ಕಷ್ಟವಾದ ಮಕ್ಕಳನ್ನೂ ಈ ಕೆಲಸ ತಲುಪಿದೆ. ಏಕ ಪೋಷಕರ ಮಕ್ಕಳು. ಎಚ್‌ಐವಿ ಇರುವ ಕುಟುಂಬಗಳ ಮಕ್ಕಳು. ದೀರ್ಘಕಾಲದ ಆರೋಗ್ಯ ಸಮಸ್ಯೆ ಇರುವ ಮಕ್ಕಳು.,"RESTRAINED. Drone and one held bansuri note. Nothing that could be read as sentiment. No piano, no strings, no movement, no effect, no ambience change",1,-28,in 2.0s,,,,,"drone and one held note, nothing that could be read as sentiment"
00:04:10:11,250.44,K35,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community","CARD GFX-08 · ಸಹಭಾಗಿತ್ವದಲ್ಲಿ // ನಿಸರ್ಗ ಫೌಂಡೇಶನ್ // ಬೆಳಕು ಟ್ರಸ್ಟ್, ಬಂಗಾರಪೇಟೆ // ಸೌಖ್ಯ","ಈ ಕೆಲಸ ಬೆಳಕು ಟ್ರಸ್ಟ್, ಸೌಖ್ಯ ಸಮೃದ್ಧಿ ಸಂಸ್ಥೆ, ಜಿಲ್ಲಾ ಆರೋಗ್ಯ ಇಲಾಖೆ ಮತ್ತು ನಿಸರ್ಗ ಫೌಂಡೇಶನ್ ಜೊತೆಗೂಡಿ ನಡೆದಿದೆ.",Warmer under the partners card. Strings return,3,-25,in 1.5s,,,,,
00:04:10:15,250.59,K35,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community","CARD GFX-08 · ಸಹಭಾಗಿತ್ವದಲ್ಲಿ // ನಿಸರ್ಗ ಫೌಂಡೇಶನ್ // ಬೆಳಕು ಟ್ರಸ್ಟ್, ಬಂಗಾರಪೇಟೆ // ಸೌಖ್ಯ","ಈ ಕೆಲಸ ಬೆಳಕು ಟ್ರಸ್ಟ್, ಸೌಖ್ಯ ಸಮೃದ್ಧಿ ಸಂಸ್ಥೆ, ಜಿಲ್ಲಾ ಆರೋಗ್ಯ ಇಲಾಖೆ ಮತ್ತು ನಿಸರ್ಗ ಫೌಂಡೇಶನ್ ಜೊತೆಗೂಡಿ ನಡೆದಿದೆ.",,,,,Gentle airy whoosh on the partners card,https://pixabay.com/sound-effects/gentle-amp-echoing-whoosh-sound-effect-451056/,-15,out 0.80s,[placed] Whoosh 3 of 3. Lower than K07 because this card is denser
00:04:18:15,258.60,K36,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTOCARD A196 · 2024 newspaper coverage clipping,2024ರ ಜೂನ್‌ನಲ್ಲಿ ಒಂದು ಕನ್ನಡ ದಿನಪತ್ರಿಕೆ ಮುಳಬಾಗಿಲಿನ ಚಿತ್ರವನ್ನು ಪ್ರಕಟಿಸಿತು. ಏಕ ಪೋಷಕರ ಮಕ್ಕಳಿಗೆ ವಿದ್ಯಾರ್ಥಿವೇತನ ವಿತರಣೆ.,Holds. No swell under the newspaper clipping,3,-25,-,,,,,1.0s pause written into this shot
00:04:18:22,258.90,K36,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTOCARD A196 · 2024 newspaper coverage clipping,2024ರ ಜೂನ್‌ನಲ್ಲಿ ಒಂದು ಕನ್ನಡ ದಿನಪತ್ರಿಕೆ ಮುಳಬಾಗಿಲಿನ ಚಿತ್ರವನ್ನು ಪ್ರಕಟಿಸಿತು. ಏಕ ಪೋಷಕರ ಮಕ್ಕಳಿಗೆ ವಿದ್ಯಾರ್ಥಿವೇತನ ವಿತರಣೆ.,,,,,"Single page turn, newspaper",https://pixabay.com/sound-effects/turn-a-page-336933/,-14,-,"[placed] The Udayavani clipping, 19 June 2024"
00:04:30:22,270.88,K37,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTOCARD A002 · bharat shiksha ratan award certificate scan,"2025ರ ಡಿಸೆಂಬರ್‌ನಲ್ಲಿ, ನವದೆಹಲಿಯ ರಾಷ್ಟ್ರೀಯ ಶೃಂಗಸಭೆಯಲ್ಲಿ, ಸಂಸ್ಥಾಪಕರಿಗೆ ಭಾರತ್ ಶಿಕ್ಷಾ ರತ್ನ ಪ್ರಶಸ್ತಿ ಸಂದಿತು.","ONE gentle lift for the award, then settle. NO FANFARE, no brass, no cymbal, no chime, no applause",3,-22,-,,,,,2.0s pause written into this shot
00:04:42:06,282.24,K38,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTO A250 · 2025 volunteer group at school garden,"ಆದರೆ ಮುಖ್ಯವಾದ ದಾಖಲೆ ಪ್ರಶಸ್ತಿ ಪತ್ರದಲ್ಲಿ ಇಲ್ಲ. ಅದು ಒಂದು ಹೆಸರುಗಳ ಪಟ್ಟಿಯಲ್ಲಿದೆ. ಬೆಂಗಳೂರು, ಚೆನ್ನೈ, ಅಮೆರಿಕ, ಬ್ರಿಟನ್, ಜರ್ಮನಿ, ಡೆನ್ಮಾರ್ಕ್, ದುಬೈನಲ್ಲಿದ್ದು ನೆರವು ನೀಡಿದವರು.",Piano or nylon guitar enters for the first time. The gratitude section,3,-22,in 2.0s,,,,,
00:04:42:06,282.24,K38,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTO A250 · 2025 volunteer group at school garden,"ಆದರೆ ಮುಖ್ಯವಾದ ದಾಖಲೆ ಪ್ರಶಸ್ತಿ ಪತ್ರದಲ್ಲಿ ಇಲ್ಲ. ಅದು ಒಂದು ಹೆಸರುಗಳ ಪಟ್ಟಿಯಲ್ಲಿದೆ. ಬೆಂಗಳೂರು, ಚೆನ್ನೈ, ಅಮೆರಿಕ, ಬ್ರಿಟನ್, ಜರ್ಮನಿ, ಡೆನ್ಮಾರ್ಕ್, ದುಬೈನಲ್ಲಿದ್ದು ನೆರವು ನೀಡಿದವರು.",,,,,Tonal lift under gratitude and coverage,https://pixabay.com/sound-effects/spring-is-coming-25sec-596343/,-20,in 3.00s / out 3.00s,"[placed] Sits below the pad it hands over to, and resolves into act 5"
00:04:57:13,297.52,K39,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTO A230 · 2025 hall full of volunteers and children,"ವಕೀಲರು, ಎಂಜಿನಿಯರ್‌ಗಳು, ವೈದ್ಯರು, ಗೃಹಿಣಿಯರು ಆಗಿರುವ ಸ್ವಯಂಸೇವಕರು. ಒಂದು ಮಗುವಿಗಾಗಿ ಫೋನ್ ಮಾಡಿದ ಶಿಕ್ಷಕರು.",Strings warm underneath. Bansuri rests,3,-22,-,,,,,
00:05:06:12,306.48,K40,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTO A238 · 2025 schoolchildren showing school bags on veranda,ಮತ್ತು ತಮ್ಮ ಪಾಲನ್ನು ತಪ್ಪದೇ ಕಟ್ಟಿದ ಪೋಷಕರು.,"Motif returns in the piano, quietly, under the parents",3,-22,-,,,,,
00:05:09:07,309.28,K41,5 · ಮುಂದಿನ ದಾರಿ · future and anniversary welcome,PHOTO A216 · 2025 children showing school bags outdoors,"ಈ ವರ್ಷ, ತನ್ನ ಆರೈಕೆಯಲ್ಲಿರುವ ಎಲ್ಲ ಮಕ್ಕಳನ್ನೂ ಬೆಂಗಳೂರಿಗೆ ಕರೆತರಬೇಕೆಂಬುದು ಟ್ರಸ್ಟ್‌ನ ಆಸೆ. ಒಂದು ಕಾರ್ಯಕ್ರಮ, ಒಂದು ದಿನದ ಸುತ್ತಾಟ, ಮನೆಗೆ ಒಯ್ಯಲು ಒಂದು ಉಡುಗೊರೆ.","ACT 5. Opens up. Piano and bansuri together. Low pulse returns as forward movement, not as rhythm",4,-20,-,,,,,
00:05:09:07,309.28,K41,5 · ಮುಂದಿನ ದಾರಿ · future and anniversary welcome,PHOTO A216 · 2025 children showing school bags outdoors,"ಈ ವರ್ಷ, ತನ್ನ ಆರೈಕೆಯಲ್ಲಿರುವ ಎಲ್ಲ ಮಕ್ಕಳನ್ನೂ ಬೆಂಗಳೂರಿಗೆ ಕರೆತರಬೇಕೆಂಬುದು ಟ್ರಸ್ಟ್‌ನ ಆಸೆ. ಒಂದು ಕಾರ್ಯಕ್ರಮ, ಒಂದು ದಿನದ ಸುತ್ತಾಟ, ಮನೆಗೆ ಒಯ್ಯಲು ಒಂದು ಉಡುಗೊರೆ.",,,,,Warm pad across act 5 and the end card,https://pixabay.com/sound-effects/warm-pad-fragment-short-450964/,-15,in 3.00s / out 4.50s,"[placed] The K42 swell the shopping list asked for, spread across the act instead of spent on one shot. Pixabay marks this file AI generated"
00:05:09:07,309.28,K41,5 · ಮುಂದಿನ ದಾರಿ · future and anniversary welcome,PHOTO A216 · 2025 children showing school bags outdoors,"ಈ ವರ್ಷ, ತನ್ನ ಆರೈಕೆಯಲ್ಲಿರುವ ಎಲ್ಲ ಮಕ್ಕಳನ್ನೂ ಬೆಂಗಳೂರಿಗೆ ಕರೆತರಬೇಕೆಂಬುದು ಟ್ರಸ್ಟ್‌ನ ಆಸೆ. ಒಂದು ಕಾರ್ಯಕ್ರಮ, ಒಂದು ದಿನದ ಸುತ್ತಾಟ, ಮನೆಗೆ ಒಯ್ಯಲು ಒಂದು ಉಡುಗೊರೆ.",,,,,Soft warm riser into the future section,https://pixabay.com/sound-effects/dreamy-cinematic-riser-523158/,-15,in 0.60s / out 0.50s,"[placed] A different, quieter excerpt of the K05 riser. The first effect to cut if it fights the line"
00:05:21:01,321.04,K42,5 · ಮುಂದಿನ ದಾರಿ · future and anniversary welcome,PHOTO A186 · 2024 children with supplies outdoors,ಅವರಲ್ಲಿ ಹಲವರಿಗೆ ಇದು ಈ ನಗರವನ್ನು ನೋಡುವ ಮೊದಲ ಬಾರಿ. ಕೆಲವರಿಗೆ ತಮ್ಮ ಊರು ಬಿಟ್ಟು ಹೊರಡುವ ಮೊದಲ ಬಾರಿ.,"Holds open. One rising interval, not a modulation",3,-21,-,,,,,1.0s pause written into this shot
00:05:29:20,329.80,K43,5 · ಮುಂದಿನ ದಾರಿ · future and anniversary welcome,PHOTO A240b · 2025 schoolwide supplies group photo,ಮುಂದಿನ ಹತ್ತು ವರ್ಷವೂ ಹೀಗೇ. ಇನ್ನಷ್ಟು ಜಿಲ್ಲೆಗಳು. ಇನ್ನಷ್ಟು ಗ್ರಂಥಾಲಯಗಳು. ಓದು ನಿಲ್ಲದ ಇನ್ನಷ್ಟು ಮಕ್ಕಳು.,"Lifts, but DOES NOT CLIMAX. No added percussion, no cymbal, no key change, no octave doubling",4,-20,-,,,,,
00:05:38:07,338.28,K44,5 · ಮುಂದಿನ ದಾರಿ · future and anniversary welcome,PHOTO A224 · 2025 classroom full of children with supplies,ಹತ್ತು ವರ್ಷ. ಒಂದೊಂದೇ ಮಗು. ಸದ್ದಿಲ್ಲದೆ ಉಳಿಸಿಕೊಂಡ ಒಂದು ಮಾತು.,"Resolves, unhurried",3,-22,-,,,,,1.0s pause written into this shot
00:05:38:17,338.68,K44,5 · ಮುಂದಿನ ದಾರಿ · future and anniversary welcome,PHOTO A224 · 2025 classroom full of children with supplies,ಹತ್ತು ವರ್ಷ. ಒಂದೊಂದೇ ಮಗು. ಸದ್ದಿಲ್ಲದೆ ಉಳಿಸಿಕೊಂಡ ಒಂದು ಮಾತು.,,,,,"School bag zip, the classroom",https://pixabay.com/sound-effects/backpack-zipper-sfx-mrstokes302-585349/,-14,in 0.10s / out 0.70s,"[placed] A different zip from K22, so the pair does not read as one sound used twice"
00:05:45:05,345.20,K45,5 · ಮುಂದಿನ ದಾರಿ · future and anniversary welcome,PHOTO A224b · 2025 classroom full of children with supplies,ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್‌ನ ಹತ್ತನೇ ವರ್ಷದ ಸಂಭ್ರಮಕ್ಕೆ ನಿಮಗೆಲ್ಲರಿಗೂ ಆತ್ಮೀಯ ಸ್ವಾಗತ.,"Steps down 2 dB under the welcome line so the narrator is central. Sustain only, no new material",2,-24,-,,,,,
00:05:50:22,350.88,K46,5 · ಮುಂದಿನ ದಾರಿ · future and anniversary welcome,CARD GFX-09 · ಪ್ರತಿ ಮಗುವಿನ ಮೇಲೆ ನಂಬಿಕೆ ಇಟ್ಟ ಒಂದು ದಶಕ // ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್ ,"(no narration, 7.0s hold)","Final warm chord across the end card, then a natural fade to silence over 2 to 3 seconds. No boom, no hard cut after the logo",2,to silent,out 3.0s natural,,,,,
00:05:51:12,351.48,K46,5 · ಮುಂದಿನ ದಾರಿ · future and anniversary welcome,CARD GFX-09 · ಪ್ರತಿ ಮಗುವಿನ ಮೇಲೆ ನಂಬಿಕೆ ಇಟ್ಟ ಒಂದು ದಶಕ // ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್ ,(no narration),,,,,Soft applause under the end card,https://pixabay.com/sound-effects/applause-383901/,-20,in 1.20s / out 2.60s,"[placed] `11` section 1 gives applause exactly one home in this film: under the end card, low, and never under speech. This is it. Solo -26 dBFS, and it is the resolution of a film about children's schooling, not a curtain call"
