shot,lane,kind,tc_in,tc_out,duration,gen_length,fit,upload,source,consent,narration,onscreen,vo_audio,prompt,reject_for
K35,B-card,CARD,00:04:10:11,00:04:18:15,8.16,,,tools/gfx/K35*.png,Partners card,n/a - graphics only,"ಈ ಕೆಲಸ ಬೆಳಕು ಟ್ರಸ್ಟ್, ಸೌಖ್ಯ ಸಮೃದ್ಧಿ ಸಂಸ್ಥೆ, ಜಿಲ್ಲಾ ಆರೋಗ್ಯ ಇಲಾಖೆ ಮತ್ತು ನಿಸರ್ಗ ಫೌಂಡೇಶನ್ ಜೊತೆಗೂಡಿ ನಡೆದಿದೆ.","ಸಹಭಾಗಿತ್ವದಲ್ಲಿ  //  ನಿಸರ್ಗ ಫೌಂಡೇಶನ್  //  ಬೆಳಕು ಟ್ರಸ್ಟ್, ಬಂಗಾರಪೇಟೆ  //  ಸೌಖ್ಯ ಸಮೃದ್ಧಿ ಸಂಸ್ಥೆ, ಕೋಲಾರ  //  ಜಿಲ್ಲಾ ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ ಇಲಾಖೆ, ಕೋಲಾರ",tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K35.mp3,,Rendered by tools/gfx.py through headless Chrome. Never through a generative model.
K36,B,PHOTOCARD,00:04:18:15,00:04:30:22,12.28,,,"film.py, 5% push toward headline and caption",assets/images/timeline/2024-newspaper-coverage-clipping.jpg,THIRD-PARTY COPYRIGHT - BLOCKING,2024ರ ಜೂನ್‌ನಲ್ಲಿ ಒಂದು ಕನ್ನಡ ದಿನಪತ್ರಿಕೆ ಮುಳಬಾಗಿಲಿನ ಚಿತ್ರವನ್ನು ಪ್ರಕಟಿಸಿತು. ಏಕ ಪೋಷಕರ ಮಕ್ಕಳಿಗೆ ವಿದ್ಯಾರ್ಥಿವೇತನ ವಿತರಣೆ.,ಉದಯವಾಣಿ · 19 ಜೂನ್ 2024,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K36.mp3,,"The Udayavani clipping, and the film's only independent verification. Two compounding reasons: the headline and caption are read on screen, and the clipping is third-party copyright with no written permission on file (`07` gate 3). It may not be uploaded anywhere."
K37,B,PHOTOCARD,00:04:30:22,00:04:42:06,11.36,,,"film.py, static",assets/images/awards/bharat-shiksha-ratan-award-certificate-scan.jpeg,CLEAR - document only,"2025ರ ಡಿಸೆಂಬರ್‌ನಲ್ಲಿ, ನವದೆಹಲಿಯ ರಾಷ್ಟ್ರೀಯ ಶೃಂಗಸಭೆಯಲ್ಲಿ, ಸಂಸ್ಥಾಪಕರಿಗೆ ಭಾರತ್ ಶಿಕ್ಷಾ ರತ್ನ ಪ್ರಶಸ್ತಿ ಸಂದಿತು.",ಭಾರತ್ ಶಿಕ್ಷಾ ರತ್ನ ಪ್ರಶಸ್ತಿ · 19 ಡಿಸೆಂಬರ್ 2025 · ನವದೆಹಲಿ  //  ಎಕನಾಮಿಕ್ ಅಂಡ್ ಸೋಶಿಯಲ್ ಡೆವಲಪ್‌ಮೆಂಟ್ ಫೌಂಡೇಶನ್,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K37.mp3,,"The award certificate. A document, read on screen. No push, and no generative pass: a reworded certificate is a fabricated record."
K38,C,PHOTO,00:04:42:06,00:04:57:13,15.28,10,"two takes, cut at about 9s (15.28s total)",,assets/images/timeline/2025-volunteer-group-at-school-garden.jpg,ADULTS AND SOME CHILDREN - identifiable,"ಆದರೆ ಮುಖ್ಯವಾದ ದಾಖಲೆ ಪ್ರಶಸ್ತಿ ಪತ್ರದಲ್ಲಿ ಇಲ್ಲ. ಅದು ಒಂದು ಹೆಸರುಗಳ ಪಟ್ಟಿಯಲ್ಲಿದೆ. ಬೆಂಗಳೂರು, ಚೆನ್ನೈ, ಅಮೆರಿಕ, ಬ್ರಿಟನ್, ಜರ್ಮನಿ, ಡೆನ್ಮಾರ್ಕ್, ದುಬೈನಲ್ಲಿದ್ದು ನೆರವು ನೀಡಿದವರು.",ನೆರವು ನೀಡಿದವರಿಗೆ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K38.mp3,"Static shot of a school garden path in the morning, young saplings staked in a row along it, a metal watering can set down on the soil. Wet earth. The camera holds still, with a slow push along the path. No people.",
K39,C,PHOTO,00:04:57:13,00:05:06:12,8.96,10,trim to 8.96s,,assets/images/timeline/2025-hall-full-of-volunteers-and-children.jpg,[C] BLOCKING after crop - approx 60 identifiable,"ವಕೀಲರು, ಎಂಜಿನಿಯರ್‌ಗಳು, ವೈದ್ಯರು, ಗೃಹಿಣಿಯರು ಆಗಿರುವ ಸ್ವಯಂಸೇವಕರು. ಒಂದು ಮಗುವಿಗಾಗಿ ಫೋನ್ ಮಾಡಿದ ಶಿಕ್ಷಕರು.",ಸ್ವಯಂಸೇವಕರಿಗೆ  //  ವಕೀಲರು · ಎಂಜಿನಿಯರ್‌ಗಳು · ವೈದ್ಯರು · ಗೃಹಿಣಿಯರು,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K39.mp3,"Static shot of an empty school hall, rows of plastic chairs and a folding table at the front, side light coming through open double doors. Dust in the light. No people, and no banner or lettering on the wall.",
K40,C,PHOTO,00:05:06:12,00:05:09:07,2.80,5,trim to 2.80s,,assets/images/timeline/2025-schoolchildren-showing-school-bags-on-veranda.jpg,[C] BLOCKING - approx 30 identifiable children,ಮತ್ತು ತಮ್ಮ ಪಾಲನ್ನು ತಪ್ಪದೇ ಕಟ್ಟಿದ ಪೋಷಕರು.,ಪೋಷಕರಿಗೆ  //  ತಮ್ಮ ಪಾಲಿನ ಶುಲ್ಕವನ್ನು ತಪ್ಪದೇ ಹೊಂದಿಸಿದವರು,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K40.mp3,"Static close shot of a stack of blank paper forms and a pen on a wooden desk, shallow focus, no writing visible on any sheet. Indoor daylight. The camera does not move. No people.",
K41,C,PHOTO,00:05:09:07,00:05:21:01,11.76,10,"two takes, cut at about 9s (11.76s total)",,assets/images/timeline/2025-children-showing-school-bags-outdoors.jpg,[C] BLOCKING - approx 10 identifiable children,"ಈ ವರ್ಷ, ತನ್ನ ಆರೈಕೆಯಲ್ಲಿರುವ ಎಲ್ಲ ಮಕ್ಕಳನ್ನೂ ಬೆಂಗಳೂರಿಗೆ ಕರೆತರಬೇಕೆಂಬುದು ಟ್ರಸ್ಟ್‌ನ ಆಸೆ. ಒಂದು ಕಾರ್ಯಕ್ರಮ, ಒಂದು ದಿನದ ಸುತ್ತಾಟ, ಮನೆಗೆ ಒಯ್ಯಲು ಒಂದು ಉಡುಗೊರೆ.",,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K41.mp3,"Static shot of a Bengaluru street from the footpath at first light, a canopy of rain trees overhead, the road still empty, shutters down. A very slow push forward. No people, no readable signage.",
K42,C,PHOTO,00:05:21:01,00:05:29:20,8.76,10,trim to 8.76s,,assets/images/timeline/2024-children-with-supplies-outdoors.jpg,[C] BLOCKING - approx 15 identifiable children and adults,ಅವರಲ್ಲಿ ಹಲವರಿಗೆ ಇದು ಈ ನಗರವನ್ನು ನೋಡುವ ಮೊದಲ ಬಾರಿ. ಕೆಲವರಿಗೆ ತಮ್ಮ ಊರು ಬಿಟ್ಟು ಹೊರಡುವ ಮೊದಲ ಬಾರಿ.,,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K42.mp3,"Static wide shot of a hillside village in Karnataka at dawn, terraced fields below, a footpath descending toward a road, blue haze on the far ridge. The camera holds still, then drifts in very slightly. No people.",
K43,C,PHOTO,00:05:29:20,00:05:38:07,8.48,10,trim to 8.48s,,assets/images/timeline/2025-schoolwide-supplies-group-photo.jpg,[C] BLOCKING - as A240,ಮುಂದಿನ ಹತ್ತು ವರ್ಷವೂ ಹೀಗೇ. ಇನ್ನಷ್ಟು ಜಿಲ್ಲೆಗಳು. ಇನ್ನಷ್ಟು ಗ್ರಂಥಾಲಯಗಳು. ಓದು ನಿಲ್ಲದ ಇನ್ನಷ್ಟು ಮಕ್ಕಳು.,,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K43.mp3,"Slow pull back from a painted school compound wall to reveal fields, a road and the far ridge behind it, dawn light. The widest framing in the film. Steady, even, no handheld movement. No people.",
K44,C,PHOTO,00:05:38:07,00:05:45:05,6.92,10,trim to 6.92s,,assets/images/timeline/2025-classroom-full-of-children-with-supplies.jpg,[C] BLOCKING - approx 40 identifiable children,ಹತ್ತು ವರ್ಷ. ಒಂದೊಂದೇ ಮಗು. ಸದ್ದಿಲ್ಲದೆ ಉಳಿಸಿಕೊಂಡ ಒಂದು ಮಾತು.,,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K44.mp3,"Static shot of a yellow-painted classroom, empty wooden desks in rows, sunlight through a barred window laid across the floor. The camera holds still for two seconds, then a three percent push in. No people, no lettering on the walls.",
K45,C,PHOTO,00:05:45:05,00:05:50:22,5.68,0,,,assets/images/timeline/2025-classroom-full-of-children-with-supplies.jpg,[C] BLOCKING - as A224,ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್‌ನ ಹತ್ತನೇ ವರ್ಷದ ಸಂಭ್ರಮಕ್ಕೆ ನಿಮಗೆಲ್ಲರಿಗೂ ಆತ್ಮೀಯ ಸ್ವಾಗತ.,,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K45.mp3,"DO NOT GENERATE. This is the payoff: the welcome line lands on children's faces and the storyboard forbids cutting away from them while it is spoken. A synthetic stand-in here would put fabricated faces under the film's one sentence of direct address, in a film that exists to thank real people. Either the release for A224 is signed, or this shot holds on the last real frame and the end card comes early.",
K46,B-card,CARD,00:05:50:22,00:05:57:22,7.00,,,tools/gfx/K46*.png,End card,n/a - graphics only,,ಪ್ರತಿ ಮಗುವಿನ ಮೇಲೆ ನಂಬಿಕೆ ಇಟ್ಟ ಒಂದು ದಶಕ  //  ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್ · 2016 ರಿಂದ 2026  //  ಒಂದು ಮಗುವಿನ ಹೆಸರು ಸೂಚಿಸಿ · ಸ್ವಯಂಸೇವಕರಾಗಿ · ಸಹಭಾಗಿಯಾಗಿ  //  journey.lawparkeducationaltrust.org  //  lawparktrust@gmail.com · +91 99456 65379,,,Rendered by tools/gfx.py through headless Chrome. Never through a generative model.
